Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
vegetarian,wood,walk/bicycle,122,very frequently,42,6,217,564.4
omnivore,wood,public,290,very frequently,317,5,154,497.2
vegetarian,natural gas,public,244,frequently,762,6,168,330.0
pescatarian,natural gas,walk/bicycle,274,very frequently,26,7,231,640.4
pescatarian,natural gas,walk/bicycle,211,rarely,99,3,140,226.6
vegetarian,natural gas,walk/bicycle,116,very frequently,0,4,196,657.8
vegetarian,electricity,walk/bicycle,282,very frequently,70,5,175,485.2
vegetarian,coal,walk/bicycle,53,rarely,70,7,182,559.0
pescatarian,wood,private,222,never,1771,3,119,321.6
pescatarian,wood,public,153,very frequently,1692,6,161,487.6
pescatarian,electricity,public,286,never,909,6,182,305.6
omnivore,natural gas,walk/bicycle,76,very frequently,81,6,140,642.2
vegetarian,wood,private,191,frequently,8358,5,182,788.2
vegan,wood,walk/bicycle,254,very frequently,67,4,98,490.8
vegan,wood,public,226,frequently,1862,5,329,439.6
omnivore,coal,private,266,rarely,3800,7,196,425.2
vegetarian,wood,public,207,rarely,1287,5,98,316.2
vegetarian,coal,public,137,frequently,1320,1,105,430.6
omnivore,coal,private,95,rarely,7468,7,189,884.4
pescatarian,coal,public,125,never,480,2,126,333.4
omnivore,wood,public,279,very frequently,1301,4,168,553.6
omnivore,electricity,walk/bicycle,64,frequently,50,5,259,298.6
omnivore,electricity,public,183,frequently,1598,2,217,394.8
vegetarian,electricity,public,271,frequently,963,6,14,356.6
vegan,natural gas,walk/bicycle,139,very frequently,3,3,294,476.0
vegan,wood,walk/bicycle,244,frequently,42,5,217,464.8
pescatarian,wood,private,159,rarely,732,7,238,452.4
vegan,wood,walk/bicycle,189,frequently,25,4,63,434.6
omnivore,natural gas,private,187,never,196,4,182,332.4
pescatarian,wood,public,227,rarely,638,4,259,356.2
vegan,electricity,walk/bicycle,144,frequently,50,2,175,435.2
vegan,coal,walk/bicycle,196,never,16,5,91,346.2
pescatarian,coal,private,169,rarely,5393,3,126,460.6
vegan,wood,walk/bicycle,123,never,83,5,287,432.4
vegan,coal,private,247,very frequently,7749,5,91,1213.8
omnivore,coal,public,289,very frequently,860,4,238,762.2
omnivore,electricity,walk/bicycle,207,never,65,2,140,219.4
pescatarian,electricity,private,295,very frequently,2761,3,70,437.6
vegan,coal,private,299,very frequently,9445,5,189,755.8
vegetarian,coal,public,57,never,64,2,210,235.8
vegan,natural gas,private,240,never,6726,7,217,169.6
pescatarian,coal,walk/bicycle,240,frequently,81,2,196,447.8
vegetarian,electricity,walk/bicycle,82,rarely,54,4,147,301.8
omnivore,natural gas,walk/bicycle,214,very frequently,37,6,77,611.6
vegan,electricity,walk/bicycle,275,very frequently,18,3,126,365.0
vegan,coal,walk/bicycle,131,never,70,7,119,406.8
pescatarian,wood,public,123,very frequently,203,7,21,399.4
pescatarian,wood,private,190,rarely,5287,4,154,560.2
omnivore,coal,walk/bicycle,64,very frequently,52,6,175,550.6
pescatarian,electricity,public,276,very frequently,1934,5,224,582.4
omnivore,wood,walk/bicycle,243,never,69,2,196,328.4
pescatarian,electricity,private,136,never,4306,5,126,441.4
vegetarian,electricity,public,163,rarely,840,1,168,256.6
vegetarian,natural gas,walk/bicycle,263,never,53,5,98,232.2
vegetarian,natural gas,public,194,very frequently,1935,3,56,431.2
vegetarian,electricity,walk/bicycle,108,frequently,32,3,196,327.8
pescatarian,wood,private,271,very frequently,555,7,133,455.6
pescatarian,electricity,private,91,very frequently,6898,2,231,592.8
vegetarian,natural gas,public,243,never,1643,1,70,236.6
vegan,natural gas,walk/bicycle,93,very frequently,57,7,224,454.8
vegan,coal,public,168,rarely,1850,2,77,308.8
vegan,electricity,public,179,very frequently,1996,5,196,480.8
vegan,electricity,private,246,rarely,5413,2,112,421.6
vegan,natural gas,walk/bicycle,231,very frequently,6,1,154,418.8
vegan,natural gas,public,198,never,1727,7,112,393.4
omnivore,natural gas,walk/bicycle,267,frequently,75,7,231,350.0
vegetarian,coal,private,81,rarely,5499,4,161,760.0
omnivore,natural gas,private,193,never,8786,2,98,653.2
pescatarian,coal,public,183,never,1531,5,217,340.8
omnivore,coal,walk/bicycle,94,never,50,7,189,394.8
pescatarian,wood,private,296,rarely,5310,1,217,457.6
omnivore,wood,walk/bicycle,239,never,79,4,140,279.4
vegetarian,natural gas,public,87,very frequently,1215,5,168,467.2
omnivore,coal,private,286,frequently,8809,5,231,759.8
vegan,electricity,walk/bicycle,117,very frequently,46,6,140,462.6
vegan,electricity,private,296,never,9285,6,28,323.2
vegetarian,wood,walk/bicycle,241,frequently,2,2,182,270.6
omnivore,coal,private,127,very frequently,9352,6,259,1003.0
pescatarian,coal,private,203,frequently,8920,2,203,435.8
omnivore,electricity,walk/bicycle,58,frequently,25,7,154,275.2
vegan,electricity,walk/bicycle,261,very frequently,14,3,133,350.4
pescatarian,wood,private,218,never,5278,3,133,662.4
omnivore,natural gas,walk/bicycle,192,frequently,75,3,224,405.0
pescatarian,coal,private,194,frequently,7148,7,189,726.6
omnivore,natural gas,walk/bicycle,92,rarely,31,5,210,489.0
omnivore,electricity,public,147,frequently,2,2,112,230.2
omnivore,electricity,walk/bicycle,237,frequently,88,3,224,416.0
vegan,coal,public,274,rarely,342,3,42,232.8
omnivore,electricity,public,270,rarely,1962,3,147,207.4
omnivore,wood,private,244,very frequently,9014,3,140,789.8
vegan,natural gas,public,267,rarely,1557,4,189,309.2
vegetarian,wood,public,121,rarely,1537,1,210,243.8
vegetarian,natural gas,public,259,rarely,293,2,252,260.8
vegan,coal,private,196,very frequently,6180,7,140,791.6
omnivore,coal,walk/bicycle,54,rarely,61,1,154,170.2
omnivore,wood,walk/bicycle,63,frequently,11,6,140,271.4
omnivore,coal,walk/bicycle,193,rarely,80,4,203,373.8
omnivore,electricity,private,183,rarely,8717,6,210,727.0
omnivore,electricity,public,146,very frequently,1604,3,112,455.8
vegetarian,electricity,private,69,very frequently,9050,5,259,970.2
vegetarian,coal,walk/bicycle,168,never,86,7,126,302.0
vegan,electricity,walk/bicycle,253,never,21,4,154,289.4
vegetarian,electricity,private,93,very frequently,1760,3,112,421.0
pescatarian,natural gas,public,270,rarely,631,3,175,178.2
pescatarian,natural gas,public,170,never,755,1,231,267.2
pescatarian,electricity,walk/bicycle,221,frequently,1,4,133,441.4
vegetarian,natural gas,private,191,very frequently,6482,7,189,1183.6
vegan,coal,walk/bicycle,80,rarely,76,3,168,302.8
vegetarian,electricity,public,100,frequently,1795,4,245,499.8
vegan,electricity,public,118,frequently,311,2,238,326.4
vegan,natural gas,public,265,rarely,1959,5,322,365.2
omnivore,natural gas,walk/bicycle,235,never,52,5,161,331.2
omnivore,electricity,walk/bicycle,126,very frequently,14,3,203,483.6
vegetarian,natural gas,public,155,never,649,4,196,291.8
vegan,coal,walk/bicycle,82,never,69,4,161,374.8
vegetarian,electricity,walk/bicycle,92,never,29,1,273,211.4
vegetarian,coal,walk/bicycle,94,very frequently,96,1,154,556.4
vegetarian,coal,walk/bicycle,98,never,50,7,168,361.8
pescatarian,electricity,private,184,very frequently,1614,3,210,522.4
pescatarian,electricity,public,286,frequently,601,5,189,573.2
pescatarian,wood,private,243,rarely,4215,4,161,515.6
pescatarian,electricity,public,91,rarely,1890,6,203,264.4
vegan,electricity,public,92,very frequently,909,1,126,449.8
vegetarian,wood,public,230,very frequently,1046,5,105,660.2
vegetarian,electricity,public,105,very frequently,1394,7,266,519.8
omnivore,natural gas,walk/bicycle,205,very frequently,15,6,189,548.2
pescatarian,natural gas,private,133,never,6127,7,154,493.4
omnivore,coal,walk/bicycle,151,never,98,4,98,315.8
pescatarian,natural gas,public,57,never,1372,7,203,491.2
vegetarian,electricity,public,251,very frequently,1978,7,147,432.2
vegetarian,electricity,public,113,never,1108,7,175,313.0
vegetarian,wood,public,138,rarely,1957,2,182,454.2
pescatarian,natural gas,public,79,very frequently,3,2,252,687.8
omnivore,electricity,public,64,frequently,415,6,161,514.6
pescatarian,natural gas,public,291,rarely,1818,4,154,308.8
vegetarian,wood,public,148,never,639,7,308,158.2
vegan,coal,public,275,rarely,388,3,147,252.8
omnivore,natural gas,public,289,frequently,804,7,147,602.2
omnivore,natural gas,private,84,never,4084,3,308,556.0
pescatarian,electricity,walk/bicycle,244,rarely,30,2,203,254.6
vegan,coal,public,64,rarely,1488,3,224,266.4
vegetarian,natural gas,public,179,rarely,447,5,140,318.8
pescatarian,natural gas,public,263,rarely,1476,7,294,464.4
pescatarian,coal,public,268,never,1368,4,7,282.0
omnivore,coal,walk/bicycle,128,very frequently,8,1,133,631.8
omnivore,electricity,public,101,never,1227,2,252,231.8
vegetarian,wood,public,63,frequently,1597,7,49,594.0
vegetarian,natural gas,public,66,never,574,7,224,342.2
vegetarian,electricity,walk/bicycle,51,frequently,19,1,63,242.2
vegetarian,natural gas,walk/bicycle,222,frequently,73,2,84,302.8
vegetarian,wood,public,116,frequently,338,1,126,329.8
vegetarian,electricity,public,245,never,1527,1,168,157.8
vegetarian,coal,walk/bicycle,81,never,95,5,35,256.0
vegetarian,coal,walk/bicycle,173,never,69,5,140,236.4
vegan,wood,private,260,rarely,2266,3,154,545.4
omnivore,natural gas,public,251,never,885,7,154,459.8
pescatarian,electricity,walk/bicycle,129,rarely,56,5,91,234.8
pescatarian,coal,public,71,rarely,1370,6,168,301.4
vegetarian,natural gas,walk/bicycle,264,very frequently,42,5,238,831.6
pescatarian,electricity,walk/bicycle,281,never,5,1,217,221.4
pescatarian,electricity,walk/bicycle,128,frequently,13,2,91,409.6
omnivore,natural gas,private,125,rarely,3849,7,140,284.6
vegetarian,natural gas,walk/bicycle,130,very frequently,50,7,84,638.2
pescatarian,coal,walk/bicycle,212,frequently,50,4,112,369.2
pescatarian,electricity,walk/bicycle,270,very frequently,3,7,196,479.8
omnivore,electricity,private,220,rarely,9445,3,210,716.4
pescatarian,electricity,private,210,very frequently,4197,2,224,707.6
omnivore,coal,public,209,never,600,6,35,324.4
omnivore,electricity,private,53,rarely,1720,1,203,277.4
omnivore,electricity,public,73,very frequently,1890,3,119,452.4
pescatarian,wood,private,53,very frequently,601,4,126,545.8
omnivore,wood,private,53,very frequently,6894,7,70,405.2
vegetarian,coal,public,132,frequently,636,4,203,360.4
omnivore,electricity,public,212,very frequently,1201,2,224,552.2
omnivore,wood,walk/bicycle,240,rarely,48,3,98,195.2
vegan,electricity,private,183,very frequently,5442,3,203,504.4
vegetarian,wood,public,295,frequently,236,4,91,491.4
pescatarian,coal,private,222,very frequently,3388,3,252,711.8
omnivore,electricity,public,102,frequently,1084,2,245,294.4
omnivore,coal,walk/bicycle,295,very frequently,95,2,231,612.0
omnivore,coal,private,120,never,5698,1,119,558.0
pescatarian,coal,public,56,rarely,780,7,133,383.2
vegan,coal,walk/bicycle,134,very frequently,2,2,266,561.8
pescatarian,coal,walk/bicycle,111,rarely,75,6,161,339.2
pescatarian,wood,public,282,never,495,3,329,329.6
vegan,wood,walk/bicycle,186,rarely,95,2,189,241.6
vegan,electricity,walk/bicycle,59,very frequently,43,1,133,487.8
pescatarian,natural gas,private,191,frequently,6716,3,196,599.8
pescatarian,natural gas,public,299,never,1840,6,175,294.2
omnivore,coal,public,55,frequently,1386,5,168,494.2
pescatarian,electricity,private,179,very frequently,3717,5,112,579.8
vegan,electricity,walk/bicycle,71,very frequently,71,1,140,432.6
omnivore,wood,walk/bicycle,79,rarely,46,1,259,236.4
vegetarian,natural gas,walk/bicycle,162,frequently,85,7,91,579.4
pescatarian,electricity,private,292,frequently,3745,1,161,411.2
vegetarian,coal,walk/bicycle,161,very frequently,78,7,140,605.2
pescatarian,natural gas,public,218,rarely,1046,1,140,216.8
pescatarian,natural gas,private,54,frequently,9915,5,189,824.4
omnivore,coal,private,232,never,1181,3,63,377.6
vegan,natural gas,private,194,frequently,4044,2,224,592.0
vegetarian,natural gas,walk/bicycle,91,rarely,1,7,196,352.2
omnivore,wood,public,105,very frequently,983,3,161,633.6
vegetarian,electricity,private,158,never,5151,7,168,196.0
vegetarian,wood,public,72,rarely,810,7,189,311.4
vegetarian,natural gas,private,153,rarely,5711,4,105,304.6
omnivore,coal,private,125,frequently,4670,6,77,510.2
pescatarian,coal,private,52,rarely,6862,7,189,639.6
vegan,coal,private,137,rarely,8095,4,224,992.0
vegan,wood,walk/bicycle,74,very frequently,18,4,98,547.0
vegan,electricity,public,80,very frequently,1780,2,98,316.2
vegan,natural gas,private,232,never,2764,1,217,399.6
pescatarian,electricity,private,120,never,2061,4,203,346.8
omnivore,natural gas,private,268,very frequently,8886,3,119,559.4
vegan,coal,private,151,rarely,1703,7,28,481.8
vegan,coal,public,257,very frequently,1479,5,49,485.8
omnivore,wood,public,242,frequently,1751,6,112,477.8
vegetarian,coal,walk/bicycle,249,rarely,58,3,231,381.2
pescatarian,electricity,walk/bicycle,68,very frequently,6,2,63,310.0
vegan,coal,walk/bicycle,152,never,64,6,98,175.0
vegetarian,coal,private,216,never,543,7,91,314.8
omnivore,coal,walk/bicycle,246,rarely,20,3,231,374.0
omnivore,electricity,walk/bicycle,163,very frequently,67,3,175,424.6
pescatarian,coal,walk/bicycle,61,very frequently,52,5,266,387.4
pescatarian,natural gas,walk/bicycle,247,never,59,4,77,266.4
vegan,natural gas,private,160,never,7896,3,126,311.8
vegan,electricity,walk/bicycle,238,frequently,78,3,84,208.4
vegan,coal,private,140,rarely,5270,1,147,661.4
omnivore,coal,private,281,frequently,1312,2,203,508.8
vegetarian,wood,public,268,rarely,848,6,238,476.8
vegetarian,natural gas,public,292,frequently,718,4,112,368.6
vegetarian,coal,private,97,frequently,8798,6,203,432.2
vegetarian,coal,public,180,never,575,3,140,303.4
omnivore,electricity,public,243,rarely,1838,2,63,264.8
pescatarian,coal,public,64,never,1279,6,133,269.6
vegan,electricity,private,145,never,9313,3,126,851.4
vegan,electricity,walk/bicycle,193,very frequently,41,2,294,607.4
vegan,natural gas,public,140,never,1282,5,147,213.8
vegan,electricity,private,237,very frequently,6938,6,175,1078.2
pescatarian,natural gas,private,236,never,5140,7,112,376.8
vegetarian,natural gas,private,174,rarely,1545,3,245,344.2
vegan,electricity,walk/bicycle,238,never,78,1,119,177.8
pescatarian,coal,public,280,very frequently,1483,4,168,588.0
vegetarian,natural gas,private,275,very frequently,9964,5,294,942.4
vegetarian,electricity,walk/bicycle,271,never,51,3,252,269.2
omnivore,electricity,walk/bicycle,189,rarely,13,6,161,243.6
vegetarian,natural gas,walk/bicycle,86,never,75,4,84,154.2
pescatarian,electricity,walk/bicycle,169,never,97,4,154,267.8
omnivore,natural gas,public,208,rarely,94,3,175,360.2
vegetarian,wood,public,262,rarely,975,3,182,296.8
vegan,wood,walk/bicycle,156,frequently,4,6,14,323.8
pescatarian,coal,walk/bicycle,68,never,69,3,119,205.4
vegetarian,electricity,private,74,frequently,3430,6,105,633.8
pescatarian,wood,private,108,frequently,7993,1,266,808.4
vegan,wood,private,238,very frequently,4870,2,182,926.2
omnivore,electricity,walk/bicycle,241,frequently,21,6,252,461.0
pescatarian,electricity,walk/bicycle,212,very frequently,31,6,70,590.2
vegan,wood,walk/bicycle,53,rarely,89,5,182,270.4
omnivore,natural gas,public,204,very frequently,1417,3,315,452.4
vegetarian,wood,walk/bicycle,67,rarely,57,5,119,172.6
pescatarian,wood,private,62,frequently,9123,4,28,507.8
pescatarian,wood,private,151,very frequently,9070,7,210,1363.2
pescatarian,natural gas,walk/bicycle,296,very frequently,41,6,119,585.6
vegetarian,wood,walk/bicycle,200,rarely,2,6,217,349.8
omnivore,natural gas,walk/bicycle,166,never,99,5,126,229.0
omnivore,natural gas,public,175,very frequently,1323,6,161,690.8
pescatarian,natural gas,private,189,rarely,274,1,154,413.2
omnivore,electricity,walk/bicycle,52,frequently,16,3,273,212.4
omnivore,coal,private,125,never,8390,7,119,852.0
omnivore,electricity,private,90,rarely,3379,1,224,425.6
vegetarian,coal,walk/bicycle,195,rarely,98,4,182,396.4
omnivore,natural gas,walk/bicycle,159,frequently,67,6,238,437.2
vegetarian,electricity,walk/bicycle,255,very frequently,51,5,175,602.0
vegetarian,electricity,private,208,never,2215,4,182,312.4
omnivore,electricity,public,138,frequently,995,4,168,313.6
vegan,electricity,walk/bicycle,105,never,82,4,252,158.0
pescatarian,coal,public,230,rarely,1405,3,168,513.2
vegetarian,electricity,private,77,never,9206,3,217,125.2
vegetarian,wood,walk/bicycle,262,rarely,31,1,161,300.2
vegetarian,electricity,private,261,rarely,5475,5,245,722.4
pescatarian,electricity,walk/bicycle,65,very frequently,82,7,252,472.2
omnivore,electricity,private,246,rarely,9663,3,210,869.4
omnivore,coal,public,119,frequently,1436,1,329,448.0
omnivore,electricity,walk/bicycle,230,never,76,3,70,409.0
omnivore,coal,public,135,very frequently,1253,2,98,535.4
pescatarian,natural gas,walk/bicycle,141,frequently,65,6,154,358.6
omnivore,wood,public,173,rarely,500,5,231,462.6
pescatarian,natural gas,walk/bicycle,180,never,43,3,154,199.2
vegan,wood,private,98,very frequently,5774,7,21,644.4
pescatarian,wood,private,115,never,2062,6,252,304.6
omnivore,natural gas,public,273,rarely,18,5,126,482.4
vegetarian,natural gas,private,198,never,1741,6,133,665.0
omnivore,natural gas,walk/bicycle,155,frequently,63,7,84,382.0
vegan,wood,private,196,frequently,5307,4,63,534.6
pescatarian,wood,public,135,rarely,1984,3,105,328.8
pescatarian,natural gas,private,263,very frequently,7952,3,280,899.2
vegetarian,wood,walk/bicycle,55,rarely,93,5,140,294.8
pescatarian,electricity,walk/bicycle,190,very frequently,29,7,280,552.2
omnivore,coal,private,156,rarely,2073,4,35,402.2
vegan,electricity,private,82,frequently,9371,4,210,441.8
pescatarian,wood,walk/bicycle,77,never,7,4,238,382.2
pescatarian,natural gas,walk/bicycle,282,very frequently,36,6,35,510.2
vegan,wood,walk/bicycle,101,never,35,2,245,209.0
vegetarian,coal,public,205,very frequently,1787,3,98,799.0
pescatarian,wood,private,149,very frequently,8250,4,266,580.2
omnivore,electricity,public,115,very frequently,909,4,126,591.6
pescatarian,natural gas,public,135,never,356,4,196,281.8
vegetarian,natural gas,walk/bicycle,167,very frequently,47,5,189,502.2
vegetarian,wood,private,175,very frequently,6142,4,168,834.6
vegan,natural gas,public,225,rarely,1808,5,273,361.8
pescatarian,wood,public,205,very frequently,1578,6,168,570.0
pescatarian,electricity,private,114,never,3657,7,154,293.2
